School_group,Major_cat,School,Major,Year,Gender,Age,Close_friend,Closefriend_inout,GPAX,Health_status,Health_status_iden,Family_type,Recieve_care,Recieve_care_other,Family_income,Family_income_enough,Studen_income,Student_income_enough,Dormitory,Relation_fam,Relation_friend,Relation_aj,Feel_uni_1,Feel_uni_2,Feel_uni_3,Feel_uni_4,Feel_uni_5,Feel_uni_6,Feel_envi_7,Feel_envi_8,Feel_envi_9,Feel_envi_10,Feel_envi_11,Feel_envi_12,Feel_envi_13,Feel_envi_14,Relax_activity,Problem,Problem_study,Problem_love,Problem_adjust,Problem_econ,Problem_other,Attitude,Attitude_iden,Learning_style_1,Learning_style_2,Learning_style_3,Learning_style_4,Learning_style_5,Learning_style_6,Learning_style_7,Learning_style_8,Learning_style_9,Learning_style_10,Learning_style_11,Learning_style_12,Learning_style_13,Learning_style_14,Learning_style_15,Learning_style_16,Learning_style_17,Learning_style_18,Learning_style_19,Learning_style_20,Learning_style_21,Learning_style_22,Learning_style_23,Learning_style_24,Learning_style_25,Learning_style_26,Learning_style_27,Learning_style_28,Learning_style_29,Learning_style_30
1,1.00,การจัดการ,บัญชี,3,1,21,5,1,3.50,1,,2,2,,12000,2,3500,1,2,5,5,5,5,2,3,4,4,4,5,5,5,5,5,5,5,5,#NULL!,1,1,0,0,1,0,2.0,มีโอกาสให้เลือกเยอะ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1.00,การจัดการ,บริหารธุรกิจ,2,1,19,3,2,1.81,1,,2,1,,999,3,4800,2,2,5,5,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,#NULL!,1,1,0,0,1,0,2.0,,2,4,4,4,4,3,5,5,3,4,5,5,2,2,4,4,4,1,4,4,5,3,5,4,2,5,1,1,3,3
1,1.00,การจัดการ,การท่องเที่ยว,2,1,20,1,1,2.75,1,,2,1,,50000,1,12000,1,2,5,5,5,5,4,4,4,5,4,4,5,5,5,5,5,5,5,#NULL!,1,1,0,1,0,0,2.0,เป็นสาขาที่น่าเรียน,3,5,5,3,5,3,5,5,4,4,4,4,3,3,5,3,5,3,5,4,4,5,5,4,4,3,3,3,3,4
1,1.00,การจัดการ,การท่องเที่ยว,2,1,19,3,1,2.08,1,,1,1,,20000,1,4000,1,2,5,5,3,2,3,1,999,3,3,3,5,5,5,5,5,5,5,#NULL!,1,1,0,1,0,0,1.0,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,1.00,การจัดการ,บริหารธุรกิจ,2,1,20,7,1,1.87,1,,2,1,,12000,1,3000,1,2,5,5,4,5,5,5,5,5,5,1,4,5,5,5,5,5,5,#NULL!,1,0,0,0,1,0,2.0,ทำให้ค้นหาความต้องการของตัวเองในการทำอาชีพในวันข้างหน้า,3,4,4,4,4,4,5,4,3,4,3,4,2,3,2,3,3,3,4,3,4,4,4,3,3,4,2,1,2,2
1,1.00,การจัดการ,โลจิสติกและโซ่อุปทาน,3,1,21,1,1,2.98,1,,2,1,,16000,1,5000,1,2,5,5,5,3,3,4,4,5,4,5,2,5,5,5,5,5,5,#NULL!,1,1,0,1,0,0,2.0,มีงานหลากหลาย ท้าทายดี,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,2,1,19,7,1,2.60,1,,1,1,,999,3,5000,2,1,5,3,-1,4,3,4,2,5,4,5,3,3,5,5,5,5,5,#NULL!,1,1,0,0,0,0,1.0,,3,5,4,4,5,3,4,5,3,4,5,4,5,3,5,4,3,2,3,3,4,5,5,4,4,4,2,2,4,4
1,1.00,การจัดการ,บริหารธุรกิจ,2,1,19,3,1,1.00,1,,2,1,,999,3,6500,1,1,4,5,2,5,5,5,5,5,5,2,3,3,5,5,5,5,5,#NULL!,1,1,0,1,0,0,2.0,อยากทำธุรกิจส่วนตัว,4,5,4,2,2,5,5,4,4,4,5,4,5,1,4,4,4,2,5,1,4,4,5,3,2,4,1,1,5,5
1,1.00,การจัดการ,บริหารธุรกิจ,4,0,22,10,1,2.31,1,,2,1,,30000,2,4000,1,2,5,4,4,4,3,4,999,4,3,4,5,999,4,5,5,5,5,#NULL!,1,0,1,0,1,0,2.0,ได้นำไปใช้แน่นอน,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,4
1,1.00,การจัดการ,การบัญชี,4,1,21,8,1,2.82,1,,2,1,,150000,1,6000,1,1,5,4,3,3,3,2,3,5,999,4,3,5,4,5,5,5,5,#NULL!,1,0,1,1,0,0,1.0,,4,5,3,4,4,4,5,4,5,4,4,5,2,4,5,5,5,4,4,5,3,4,5,2,4,5,3,4,2,4
1,1.00,การจัดการ,การบัญชี,3,1,21,4,1,1.98,1,,2,1,,70000,1,8000,1,2,5,4,3,4,4,5,4,5,3,4,4,4,4,5,5,5,5,#NULL!,1,1,0,0,0,0,2.0,ชอบในวิชาชีพนี้,4,5,5,4,5,3,5,3,3,4,4,5,4,3,5,4,3,1,5,3,5,5,5,4,1,2,2,1,3,1
1,1.00,การจัดการ,บริหารธุรกิจ,4,1,21,7,1,2.76,1,,2,2,,999,1,9000,1,2,5,5,4,3,3,3,3,3,3,5,3,4,4,5,5,5,5,#NULL!,1,1,0,1,0,0,2.0,,4,4,4,4,4,3,5,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,2,2,2,4
1,1.00,การจัดการ,บริหารธุรกิจ,2,1,20,8,1,2.31,1,,2,1,,18000,1,10000,2,2,5,5,4,3,3,4,3,4,5,3,4,3,4,5,5,5,5,#NULL!,1,1,0,0,0,0,2.0,ได้ความรู้ด้านบริหารธุรกิจมากมาย แต่วิชาคำนวณเยอะมาก,4,4,4,3,3,5,5,5,3,5,4,5,1,4,4,5,4,1,4,4,4,4,4,5,3,4,3,3,3,3
1,1.00,การจัดการ,การจัดการท่องเที่ยว,2,1,20,3,1,1.50,1,,2,1,,75000,1,12000,1,2,5,3,4,5,4,4,4,5,5,3,3,5,3,5,5,5,5,#NULL!,1,1,0,1,0,0,2.0,สามารถเลือกงานได้หลายอย่าง,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
1,1.00,การจัดการ,บริหาธุรกิจ,2,1,20,5,1,2.66,1,,1,1,,999,1,999,1,2,5,5,1,2,2,3,3,3,3,3,2,3,2,5,5,5,5,#NULL!,1,1,1,1,1,0,2.0,กำลังเริ่มสนใจ,2,1,2,4,3,3,5,1,1,1,3,4,4,1,1,1,5,4,5,1,3,3,5,1,1,3,3,2,5,4
1,1.00,การจัดการ,บริหารธุรกิจ,3,0,20,1,1,1.98,1,,2,1,,999,1,6000,1,2,5,5,3,5,5,5,4,5,2,5,4,5,5,4,5,5,5,#NULL!,1,1,0,0,0,0,2.0,เป็นสาขาที่พร้อมสำหรับงานในทุกๆสาย,4,4,4,4,4,5,5,4,4,4,4,3,2,3,3,4,4,3,3,3,4,4,5,5,5,5,3,5,4,3
1,1.00,การจัดการ,การบัญชี,2,1,19,2,1,2.50,1,,2,2,,20000,2,999,2,1,4,4,4,4,4,4,4,5,5,4,5,4,5,4,5,5,5,#NULL!,1,1,0,1,0,0,2.0,ชอบ,4,4,3,4,4,4,3,4,4,3,4,3,3,3,3,3,4,3,4,4,4,3,3,3,3,3,3,3,3,5
1,1.00,การจัดการ,บริหารธุรกิจ,3,1,20,3,1,3.66,1,,1,3,,150000,1,10000,1,2,5,5,4,3,3,2,3,4,4,4,4,4,5,4,5,5,5,#NULL!,1,1,0,0,0,0,2.0,เข้าใจในสาขาที่เรียนมากขึ้น,4,5,4,3,4,3,5,5,3,4,4,3,2,3,5,3,3,2,4,3,3,3,4,2,3,5,2,2,3,2
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,2,1,19,3,1,1.70,1,,2,1,,100000,1,7000,1,2,4,5,3,2,3,3,3,3,3,3,4,4,5,4,5,5,5,#NULL!,1,1,1,0,0,0,2.0,ได้เรียนรู้ในหลายๆอย่างที่ไม่เคยรู้,3,4,4,4,3,3,4,3,3,3,4,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,4
1,1.00,การจัดการ,โลจิสติกส์และโซ่อุปทาน,2,1,19,3,2,2.30,1,,1,2,,50000,1,6000,1,2,4,3,3,2,1,1,2,3,3,4,3,3,5,4,5,5,5,#NULL!,1,1,1,0,1,0,2.0,เรียนวิชาของสาขาแล้วรู้สึกชอบ,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,1.00,การจัดการ,โลจิสติกส์และโซ่อุปทาน,2,1,19,3,2,2.30,1,,1,2,,50000,1,6000,1,2,4,3,3,2,1,1,2,3,3,4,3,3,5,4,5,5,5,#NULL!,1,1,1,0,1,0,2.0,เรียนวิชาของสาขาแล้วรู้สึกชอบ,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
1,1.00,การจัดการ,บัญชี,4,1,21,1,2,4.00,1,,2,1,,999,3,10000,1,2,4,3,3,3,-3,-5,0,4,4,2,-5,0,5,4,5,5,5,#NULL!,1,0,1,1,0,0,1.0,,4,4,3,3,4,4,4,4,3,4,4,4,4,3,3,2,3,2,5,3,3,3,3,2,2,4,3,1,4,3
1,1.00,การจัดการ,ธุรกิจการบิน,3,1,20,9,1,2.50,1,,1,1,,12000,2,4000,1,2,5,5,3,3,3,3,3,5,2,4,4,999,4,4,5,5,5,#NULL!,1,1,0,0,0,0,2.0,เพราะชอบ,3,3,4,4,4,4,4,3,3,4,3,3,4,3,4,2,3,2,3,4,5,3,4,2,2,4,2,2,3,3
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,2,0,20,4,1,2.68,1,,2,2,,999,3,10000,1,2,5,4,4,4,3,4,4,5,5,3,4,5,4,4,5,5,5,#NULL!,1,1,0,0,1,1,2.0,สนุกดี ไม่น่าเบื่อ,4,3,5,4,3,4,5,5,3,4,3,4,3,3,1,4,3,2,5,3,4,4,3,4,1,5,2,2,3,3
1,1.00,การจัดการ,การจัดการการท่องเที่ยว,4,1,21,8,1,2.88,1,,1,1,,999,3,7500,1,2,5,5,3,2,0,3,2,2,2,2,3,4,4,4,5,5,5,#NULL!,1,1,0,0,0,0,2.0,บางวิชาสามารถนำไปประยุกต์ใช้ในชีวิตประจำวันได้,3,5,3,3,3,4,5,5,5,5,5,4,5,5,4,4,3,4,5,4,5,5,5,5,4,4,5,3,5,5
1,1.00,การจัดการ,โลจิสติกส์และโซ่อุปทาน,3,1,20,2,1,3.00,1,,2,2,,999,2,6000,2,2,5,3,0,3,3,3,3,3,5,3,3,3,4,4,5,5,5,#NULL!,1,1,0,1,0,0,1.0,,1,4,3,1,1,4,5,5,1,5,5,5,5,3,3,3,3,5,3,4,3,5,3,3,3,3,3,3,4,4
1,1.00,การจัดการ,การบัญชี,2,1,19,18,1,2.05,1,,2,1,,20000,1,8000,1,2,5,5,3,3,5,4,999,3,5,5,3,999,3,4,5,5,5,#NULL!,1,1,0,0,1,0,1.0,,3,3,5,5,1,2,4,4,3,5,5,4,1,3,5,4,2,1,5,3,3,4,5,5,4,4,1,1,3,1
1,1.00,การจัดการ,อุตสาหกรรมบริการ,2,1,999,1,1,3.02,1,,2,2,,50000,1,6000,1,1,5,5,4,4,3,3,5,5,5,4,2,5,3,4,5,5,5,#NULL!,1,1,0,0,0,0,2.0,สอนเป็นภาษาอังกฤษ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4
1,1.00,การจัดการ,การจัดการอุตสาหกรรมบริการ,3,1,20,4,1,2.25,1,,2,1,,999,3,8000,1,2,5,5,0,4,4,3,3,3,3,5,-5,4,5,3,5,5,5,#NULL!,1,1,0,0,0,0,1.0,,2,3,4,3,1,1,5,5,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5
1,1.00,การจัดการ,การบัญชี,2,0,19,10,1,3.00,1,,2,1,,200000,1,6000,1,1,5,4,3,4,4,4,2,5,5,4,4,4,5,3,5,5,5,#NULL!,1,1,1,1,0,0,2.0,,4,5,4,4,4,3,4,3,3,5,3,4,5,4,4,3,3,5,3,3,4,3,4,4,4,4,5,4,4,4
1,1.00,การจัดการ,การบัญชี,4,1,22,5,1,2.10,1,,2,2,,30000,1,8000,1,2,5,5,5,4,3,3,4,4,4,5,2,4,5,3,5,5,5,#NULL!,1,1,0,0,0,0,1.0,,3,5,5,5,5,3,5,3,3,3,5,3,3,5,5,3,3,3,3,5,5,4,5,3,4,4,3,3,2,2
1,1.00,การจัดการ,โลจิสติกส์และโซ่อุปทาน,2,1,19,6,2,2.30,1,,1,2,,999,1,6000,1,2,4,3,3,2,3,4,3,3,3,4,4,3,5,3,5,5,5,#NULL!,1,1,1,0,1,0,2.0,สอบเนื้อหาสาขาที่เรียน,3,5,4,3,3,4,5,4,4,5,5,5,3,4,5,4,4,3,5,5,4,4,4,4,5,5,3,3,3,3
